customer_id,email,name,phone,address,loyalty_tier
b5e5bb50-dd3b-4be4-8e8a-b1d193fbc821,tdean@example.com,Karen Rodriguez,216.842.1781,"{""street"": ""48360 Richard Park"", ""city"": ""Sherryport"", ""state"": ""CO"", ""zip_code"": ""78176""}",Silver
c78f6174-1d8b-43c6-88c6-920493583edf,james25@example.net,Melissa Serrano,967.682.2033x2369,"{""street"": ""25962 Jim Locks Apt. 429"", ""city"": ""Mooneystad"", ""state"": ""PR"", ""zip_code"": ""72774""}",Gold
1067a42e-4477-490c-9c00-2dd67eaa2520,williamjackson@example.org,Rachel Joseph,001-490-593-5713x8063,"{""street"": ""76582 Kayla Ways"", ""city"": ""Lake Sherryburgh"", ""state"": ""NH"", ""zip_code"": ""84270""}",Platinum
553c50f9-ac4c-4768-8c6a-82b797d3413b,erin09@example.com,Robert Mosley,568-674-9928,"{""street"": ""40438 Derrick Fords Suite 868"", ""city"": ""North Michelle"", ""state"": ""MO"", ""zip_code"": ""65250""}",Bronze
534d1480-8e9d-4bf0-b12d-026877a97052,angela48@example.net,Jason Chambers,570-946-1896,"{""street"": ""4642 Ramirez Falls Apt. 751"", ""city"": ""Williamhaven"", ""state"": ""NV"", ""zip_code"": ""66096""}",Bronze
b7482027-4e8b-4c38-868d-297bcdd3d4af,steven76@example.net,Darrell Nielsen,590-463-1312x013,"{""street"": ""6474 Debbie Unions Suite 878"", ""city"": ""Amyview"", ""state"": ""MS"", ""zip_code"": ""97960""}",Bronze
2f7d20a7-c0ca-46a0-8178-b1a5fc100eaf,amanda38@example.net,Robin Leonard,(768)232-2916,"{""street"": ""781 Martin Knolls Suite 921"", ""city"": ""Wheelerchester"", ""state"": ""HI"", ""zip_code"": ""33085""}",Platinum
7b047165-5f00-41fe-8dd8-0ffba8984d81,qrussell@example.net,Marcus Lopez,574.684.2293x1732,"{""street"": ""430 Waters Light Suite 783"", ""city"": ""East Tracyport"", ""state"": ""SD"", ""zip_code"": ""12718""}",Silver
cabdcb04-c7e2-4e5d-955d-e39728b63a38,tonyacampbell@example.com,Larry Johnson,001-667-517-5816x7119,"{""street"": ""87449 Diaz Ports"", ""city"": ""South Frederickshire"", ""state"": ""AZ"", ""zip_code"": ""49547""}",Gold
a6431a0a-a5c3-48d5-9433-970dd3d54494,alexandereric@example.com,Elizabeth Butler,460-480-7078x24532,"{""street"": ""0007 Richard Springs Suite 644"", ""city"": ""Mccannberg"", ""state"": ""OK"", ""zip_code"": ""21022""}",Bronze
1121ef21-6743-45b6-b412-b1be452aa7f3,john34@example.net,Brenda Nguyen,001-937-397-2538x79408,"{""street"": ""2015 Martha Passage"", ""city"": ""New Johnfurt"", ""state"": ""PW"", ""zip_code"": ""84179""}",Silver
74d85241-651f-49d1-bfdd-7f209535c27b,joanneramirez@example.com,David Gordon,001-599-778-6435,"{""street"": ""57890 Elaine Lane"", ""city"": ""Sethbury"", ""state"": ""NY"", ""zip_code"": ""88180""}",Gold
ea4e252c-1dcb-499c-bc60-dd315b778ee5,john59@example.org,Steven Torres,001-442-732-9890x1148,"{""street"": ""22234 Jason Stravenue Apt. 612"", ""city"": ""Allisonfort"", ""state"": ""MD"", ""zip_code"": ""82995""}",Bronze
b9e1390d-54bb-44b9-9f50-6ab392b47cae,xconner@example.com,Mr. Marcus Davis,458-402-9276,"{""street"": ""394 Anna Ford"", ""city"": ""North Robert"", ""state"": ""NJ"", ""zip_code"": ""84845""}",Gold
34aa328e-5878-4a7e-9704-f1ad12ba12ac,jeffreywhite@example.net,Christine Rodriguez,001-502-371-5213x342,"{""street"": ""691 Emma Heights"", ""city"": ""Pattersonport"", ""state"": ""NV"", ""zip_code"": ""29695""}",Bronze
a5e20242-9734-4a00-9abb-500a7cef773a,eclark@example.com,Jeffery Jones,+1-238-769-2076x761,"{""street"": ""38218 Elizabeth Forges Apt. 035"", ""city"": ""North Patricia"", ""state"": ""WV"", ""zip_code"": ""64781""}",Gold
278e3306-c962-49ea-a20c-5d7d4e45acbf,brandonvargas@example.net,Tammy Espinoza,001-643-990-6332x06817,"{""street"": ""45380 Wilson Track"", ""city"": ""Cooperfurt"", ""state"": ""OK"", ""zip_code"": ""95980""}",Gold
5d1cc94d-8a5b-4364-8059-ac37c102bee3,colonjenny@example.net,Emily West,520.899.6290x1829,"{""street"": ""7118 Michelle Mount"", ""city"": ""Lake Lindsey"", ""state"": ""CT"", ""zip_code"": ""43412""}",Bronze
70d3d2e4-0207-45f8-bbd9-963eb1f2dd2c,urogers@example.net,Brian Andrews,(593)701-4677x85903,"{""street"": ""7724 Randall Gateway"", ""city"": ""South Kaylachester"", ""state"": ""NE"", ""zip_code"": ""91946""}",Silver
285c2a9b-e434-4981-b9ec-208daa986f39,michael44@example.net,Lori Austin,354.286.9390x57719,"{""street"": ""571 Ayers Hill Apt. 742"", ""city"": ""New Jenniferland"", ""state"": ""PW"", ""zip_code"": ""87865""}",Gold
a67f7671-79d6-4eb8-ab5c-60c897e78032,langmonica@example.net,Carl Butler,+1-876-226-1909x159,"{""street"": ""5988 Cabrera Forks Suite 749"", ""city"": ""New Coreyport"", ""state"": ""VT"", ""zip_code"": ""81036""}",Bronze
1febfa09-bebc-4b4e-9826-4a086ce4c16c,wilsonsamantha@example.com,Christian Johnson,001-643-449-0182x770,"{""street"": ""849 Moore Mills Apt. 524"", ""city"": ""Roberthaven"", ""state"": ""MS"", ""zip_code"": ""89127""}",Platinum
2ecfef2f-8bd3-4a79-92d8-eb269b5dbe60,lauren97@example.net,Justin Taylor,001-310-471-9654x701,"{""street"": ""4455 Brewer Crescent Apt. 229"", ""city"": ""Josephfurt"", ""state"": ""MN"", ""zip_code"": ""16635""}",Gold
43999cc8-3c73-46eb-91d3-bdd7dcbe9185,irodriguez@example.net,Monica Morales,377.656.6122,"{""street"": ""67830 Lee Light"", ""city"": ""East Barbara"", ""state"": ""WY"", ""zip_code"": ""73274""}",Bronze
86ebb620-20a3-4868-a8ee-83cafa95cf48,susan00@example.net,Caleb Johnson,278.237.8010,"{""street"": ""110 Johnson Plains Suite 274"", ""city"": ""South Sarahaven"", ""state"": ""CA"", ""zip_code"": ""98598""}",Platinum
6d015f65-b897-4d29-8f66-cb0dc2b833b6,jacobrangel@example.net,James Schneider,+1-751-987-3449x9792,"{""street"": ""37821 Moore Orchard Apt. 978"", ""city"": ""Conniefort"", ""state"": ""KY"", ""zip_code"": ""33201""}",Silver
36c1e428-de9c-4329-a664-ff87a01fa49b,derrick29@example.org,Veronica Chang,(241)607-2579x70295,"{""street"": ""102 May Mountains Apt. 021"", ""city"": ""Scottchester"", ""state"": ""LA"", ""zip_code"": ""16247""}",Silver
0ba40e7c-a4a4-4462-81d9-044d66831c1a,davilabenjamin@example.net,Erin Melendez,445.291.6871,"{""street"": ""385 Patterson Dale Apt. 965"", ""city"": ""Port Stephenton"", ""state"": ""FM"", ""zip_code"": ""25465""}",Bronze
fea5c30f-0901-46fc-8d66-87dd1b573a72,thomasrichard@example.com,Alyssa Terrell,001-731-716-1676x8942,"{""street"": ""115 Julie Summit"", ""city"": ""Timothyhaven"", ""state"": ""AL"", ""zip_code"": ""18004""}",Silver
f7e2e385-5904-48b4-901b-f4a2ea368355,thomasware@example.net,Paul Trevino,716.295.8858x6332,"{""street"": ""8160 Moran Ranch"", ""city"": ""Moralesfort"", ""state"": ""AL"", ""zip_code"": ""57295""}",Bronze
ea9ce930-eb0e-4815-a762-cc1cc19bbb18,cclark@example.com,Matthew Lopez,+1-812-904-0561x7163,"{""street"": ""49385 Lori Stream Apt. 670"", ""city"": ""South Kathryn"", ""state"": ""MN"", ""zip_code"": ""64560""}",Platinum
9f1d57b8-f052-4eb3-b9d8-12d138bde749,qtaylor@example.net,Thomas Benitez,635-643-8269x1529,"{""street"": ""224 Kelly Summit Suite 494"", ""city"": ""New Shannontown"", ""state"": ""HI"", ""zip_code"": ""05496""}",Gold
5e459497-d765-4ea3-b050-31a1488168fd,lindsay77@example.net,Ellen Smith,+1-572-802-2282x945,"{""street"": ""6262 Flores Center"", ""city"": ""North Robertfurt"", ""state"": ""NY"", ""zip_code"": ""37072""}",Bronze
0492b2c7-97ec-42fa-bfa2-96722199a4ed,wrightjoseph@example.net,Dr. Maria Rogers,472-871-1849,"{""street"": ""985 Kimberly Avenue Suite 355"", ""city"": ""North Kelly"", ""state"": ""PW"", ""zip_code"": ""06888""}",Silver
da8658ea-b466-4f5e-98ae-c4e87238c6cc,keithangela@example.net,Gloria Barron,429-609-8558,"{""street"": ""41968 Alvarado Tunnel"", ""city"": ""Diazhaven"", ""state"": ""TX"", ""zip_code"": ""94204""}",Gold
f9f774ea-cb8e-4ac5-9f1f-4cd93d7163b3,richardsonmatthew@example.org,Michael Joseph II,694.931.4036,"{""street"": ""54155 Jeffrey Cliffs Apt. 460"", ""city"": ""Woodbury"", ""state"": ""MD"", ""zip_code"": ""25573""}",Platinum
0cc88584-1999-4324-83d5-65b51c8745e8,ebrown@example.com,Donald Ware,3416695173,"{""street"": ""00074 Elizabeth Roads Suite 017"", ""city"": ""Johnton"", ""state"": ""KY"", ""zip_code"": ""03010""}",Platinum
6a18f50c-644e-4951-a6b1-3812f01f7027,francismike@example.com,Reginald Smith,750.390.7361,"{""street"": ""9917 Christensen Hill Apt. 392"", ""city"": ""Lake Matthew"", ""state"": ""OR"", ""zip_code"": ""04793""}",Platinum
1445e2ce-c60a-4b7b-88c0-9f1b76c1e949,aaron63@example.org,Kathryn Patterson,+1-959-498-9986x43029,"{""street"": ""1870 David Stravenue Apt. 420"", ""city"": ""New Matthew"", ""state"": ""NE"", ""zip_code"": ""98657""}",Gold
160a3822-2b63-458c-a73c-c017e7d403dd,dwilson@example.org,Brett Perez,(320)503-4015x9389,"{""street"": ""4896 Jones Summit"", ""city"": ""Fisherborough"", ""state"": ""OK"", ""zip_code"": ""60711""}",Bronze
325988d1-ffff-48db-9b53-848a5188fc65,scottmarie@example.net,Michael Collins,(415)820-2749x61559,"{""street"": ""744 Katherine View"", ""city"": ""West Joseph"", ""state"": ""MT"", ""zip_code"": ""21958""}",Silver
7f2a86c8-ec70-4429-8cdb-3ec1b3fd8965,brenda59@example.org,Anthony Gomez,344.857.1763x799,"{""street"": ""967 James Cove"", ""city"": ""Lopezbury"", ""state"": ""PA"", ""zip_code"": ""99926""}",Platinum
4ebf748c-3f60-4dd7-928d-8c0ea4faa2fe,hannahbird@example.org,Aaron Hahn,001-538-358-5946x861,"{""street"": ""8228 Carlson Wells"", ""city"": ""Davismouth"", ""state"": ""PA"", ""zip_code"": ""66060""}",Bronze
f98f8837-5d05-4d0f-bf7d-b45f5ce80c7e,andersonmatthew@example.net,Danielle Harvey,+1-529-842-1835x11925,"{""street"": ""255 Robinson Courts Suite 823"", ""city"": ""Robertside"", ""state"": ""FM"", ""zip_code"": ""12949""}",Bronze
7d760e45-7f34-43e8-ae10-c234eaa87f54,eric74@example.org,Lori Campbell,957.742.6884,"{""street"": ""46238 Christopher Track Apt. 305"", ""city"": ""East Theresa"", ""state"": ""MA"", ""zip_code"": ""24196""}",Silver
b2ddf8ac-cabd-4ecf-8683-a7fcc6202dd7,mcculloughkristi@example.com,Samantha Watson MD,248-329-4848,"{""street"": ""560 Tammy Locks"", ""city"": ""Stanleymouth"", ""state"": ""PR"", ""zip_code"": ""48799""}",Platinum
cefe7518-d1d1-4cfd-8327-977e502b6eb7,danielsmargaret@example.org,Amanda Murray,(928)907-5044,"{""street"": ""80825 Arias Oval"", ""city"": ""Floresland"", ""state"": ""WA"", ""zip_code"": ""26899""}",Platinum
