order_id,customer_id,order_date,order_total,items,destination,status,estimated_delivery_date,actual_delivery_date
b9bf2f46-6184-4e5d-a222-de567f00f44c,8b558b75-ce1f-4fff-ad9b-5e4f3d98667d,2025-08-27 13:22:21.352171,235.13,"[{""sku"": ""PROD0046"", ""name"": ""Product 46"", ""price"": 41.96}, {""sku"": ""PROD0076"", ""name"": ""Product 76"", ""price"": 193.17}]","{""lat"": 34.147822, ""lon"": -118.468071, ""address"": ""1137 Hernandez Loaf""}",delivered,2025-08-28 01:22:57.497918,2025-08-28 01:08:57.497918
c73375e8-422e-4d0b-ac35-011d3cff184b,a9b5418b-a004-4c54-8fcd-166a7a1c284f,2025-09-24 14:43:44.352171,236.75,"[{""sku"": ""PROD0008"", ""name"": ""Product 8"", ""price"": 29.52}, {""sku"": ""PROD0030"", ""name"": ""Product 30"", ""price"": 31.14}, {""sku"": ""PROD0080"", ""name"": ""Product 80"", ""price"": 44.42}, {""sku"": ""PROD0078"", ""name"": ""Product 78"", ""price"": 85.03}, {""sku"": ""PROD0025"", ""name"": ""Product 25"", ""price"": 46.64}]","{""lat"": 34.181868, ""lon"": -118.340082, ""address"": ""2904 Davis Roads""}",shipped,2025-09-25 02:51:19.612625,
e788abbb-6807-430f-9016-b15b1e32bc36,c0c64861-92f4-4826-abc3-293e5c867546,2025-08-19 13:43:00.352171,401.35,"[{""sku"": ""PROD0090"", ""name"": ""Product 90"", ""price"": 193.08}, {""sku"": ""PROD0062"", ""name"": ""Product 62"", ""price"": 32.31}, {""sku"": ""PROD0005"", ""name"": ""Product 5"", ""price"": 175.96}]","{""lat"": 34.099721, ""lon"": -118.457746, ""address"": ""61276 Peterson Ranch Apt. 419""}",delivered,2025-08-19 17:58:22.831576,2025-08-19 18:17:22.831576
83021583-985c-44a5-a774-a22cb27e247b,da8658ea-b466-4f5e-98ae-c4e87238c6cc,2025-07-09 02:19:06.352171,209.11,"[{""sku"": ""PROD0097"", ""name"": ""Product 97"", ""price"": 79.55}, {""sku"": ""PROD0040"", ""name"": ""Product 40"", ""price"": 129.56}]","{""lat"": 34.192267, ""lon"": -118.309759, ""address"": ""3182 Candice Pines""}",delivered,2025-07-09 12:53:57.368788,2025-07-09 13:08:57.368788
57d460db-ac9f-409a-90fc-213cbfd6419c,e36de7ab-b0b8-4ee5-983f-a5a3c979471d,2025-07-15 10:52:52.352171,343.31,"[{""sku"": ""PROD0068"", ""name"": ""Product 68"", ""price"": 57.95}, {""sku"": ""PROD0024"", ""name"": ""Product 24"", ""price"": 185.92}, {""sku"": ""PROD0074"", ""name"": ""Product 74"", ""price"": 69.92}, {""sku"": ""PROD0008"", ""name"": ""Product 8"", ""price"": 29.52}]","{""lat"": 34.167078, ""lon"": -118.371018, ""address"": ""3854 Ayala Junctions""}",delivered,2025-07-16 09:31:37.933259,2025-07-16 09:48:37.933259
fa99231e-2499-4016-8444-ceb449d5c039,cb35f82c-4f20-4188-af45-55ae9faa70bb,2025-09-04 15:15:06.352171,264.79,"[{""sku"": ""PROD0073"", ""name"": ""Product 73"", ""price"": 12.64}, {""sku"": ""PROD0096"", ""name"": ""Product 96"", ""price"": 163.08}, {""sku"": ""PROD0077"", ""name"": ""Product 77"", ""price"": 89.07}]","{""lat"": 34.199032, ""lon"": -118.375927, ""address"": ""341 Lynch Lane Suite 243""}",delivered,2025-09-05 03:36:21.621929,2025-09-05 03:57:21.621929
ad322b2a-e37a-4f24-9995-585b05790225,8a7e8ee0-a6b2-45a4-8c4a-1d6dbd0248b0,2025-08-11 07:22:02.352171,282.05,"[{""sku"": ""PROD0093"", ""name"": ""Product 93"", ""price"": 104.33}, {""sku"": ""PROD0061"", ""name"": ""Product 61"", ""price"": 177.72}]","{""lat"": 34.048784, ""lon"": -118.484211, ""address"": ""11907 Brian Knoll Suite 441""}",delivered,2025-08-11 13:11:43.318283,2025-08-11 12:48:43.318283
86296e7a-a60b-4646-b5cc-418a54842435,a5af5641-ad7c-4ca5-886e-6447dff6e47a,2025-07-22 17:22:02.352171,428.65,"[{""sku"": ""PROD0088"", ""name"": ""Product 88"", ""price"": 101.79}, {""sku"": ""PROD0098"", ""name"": ""Product 98"", ""price"": 133.57}, {""sku"": ""PROD0039"", ""name"": ""Product 39"", ""price"": 193.29}]","{""lat"": 34.112657, ""lon"": -118.355573, ""address"": ""6523 Howard Forges Suite 198""}",processing,,
0517f3c8-6cbc-450d-98fc-52fa381d6dba,40338e18-579a-4589-be80-e8e3303465e6,2025-08-22 06:17:00.352171,32.31,"[{""sku"": ""PROD0062"", ""name"": ""Product 62"", ""price"": 32.31}]","{""lat"": 34.164165, ""lon"": -118.487644, ""address"": ""2061 Gardner Oval Suite 822""}",delivered,2025-08-23 01:04:35.985799,2025-08-23 01:22:35.985799
3258f115-cf27-4452-af13-4596e8a73824,2f7d20a7-c0ca-46a0-8178-b1a5fc100eaf,2025-08-22 23:43:49.352171,40.71,"[{""sku"": ""PROD0092"", ""name"": ""Product 92"", ""price"": 40.71}]","{""lat"": 34.133521, ""lon"": -118.319821, ""address"": ""77391 Ward Way Apt. 392""}",delivered,2025-08-23 02:09:49.141138,2025-08-23 02:32:49.141138
d5fd0782-4e5a-46d8-9d95-8ab3196d38da,755ac85c-2e4f-4cf4-acd4-b8fd540387a7,2025-07-21 13:30:58.352171,263.98,"[{""sku"": ""PROD0046"", ""name"": ""Product 46"", ""price"": 41.96}, {""sku"": ""PROD0004"", ""name"": ""Product 4"", ""price"": 161.0}, {""sku"": ""PROD0095"", ""name"": ""Product 95"", ""price"": 61.02}]","{""lat"": 34.096762, ""lon"": -118.41468, ""address"": ""5358 Daisy Spurs""}",delivered,2025-07-22 07:49:39.785367,2025-07-22 07:59:39.785367
41c8439a-d003-41d3-8310-97451be7719d,5c8c4bc3-96af-41c8-9e0a-7cdbf5b3f6d9,2025-09-10 16:29:37.352171,364.66,"[{""sku"": ""PROD0079"", ""name"": ""Product 79"", ""price"": 146.42}, {""sku"": ""PROD0001"", ""name"": ""Product 1"", ""price"": 16.83}, {""sku"": ""PROD0021"", ""name"": ""Product 21"", ""price"": 149.5}, {""sku"": ""PROD0086"", ""name"": ""Product 86"", ""price"": 51.91}]","{""lat"": 34.139864, ""lon"": -118.305905, ""address"": ""158 Evelyn Creek Suite 950""}",delivered,2025-09-11 07:15:37.840944,2025-09-11 07:06:37.840944
b6d8b803-dc68-4c7e-b26e-f23ff8d65302,86ebb620-20a3-4868-a8ee-83cafa95cf48,2025-09-24 14:35:55.352171,137.47,"[{""sku"": ""PROD0002"", ""name"": ""Product 2"", ""price"": 137.47}]","{""lat"": 34.171155, ""lon"": -118.375351, ""address"": ""834 Robert Neck""}",shipped,2025-09-24 19:11:11.790852,
068a5022-d576-4147-817b-40b2c3788915,aceba0cd-6fe1-4f2a-9476-df0d321c041d,2025-09-12 04:31:49.352171,414.12,"[{""sku"": ""PROD0094"", ""name"": ""Product 94"", ""price"": 69.44}, {""sku"": ""PROD0066"", ""name"": ""Product 66"", ""price"": 198.26}, {""sku"": ""PROD0079"", ""name"": ""Product 79"", ""price"": 146.42}]","{""lat"": 34.086354, ""lon"": -118.511, ""address"": ""762 Alexandria Stravenue""}",delivered,2025-09-13 01:21:48.189898,2025-09-13 01:25:48.189898
d6b40879-36a6-4d15-a3e4-f28cb517d754,726d8ed9-72d9-4861-b7f6-90c3b8163e98,2025-07-14 16:10:34.352171,666.05,"[{""sku"": ""PROD0097"", ""name"": ""Product 97"", ""price"": 79.55}, {""sku"": ""PROD0026"", ""name"": ""Product 26"", ""price"": 189.92}, {""sku"": ""PROD0098"", ""name"": ""Product 98"", ""price"": 133.57}, {""sku"": ""PROD0064"", ""name"": ""Product 64"", ""price"": 144.85}, {""sku"": ""PROD0045"", ""name"": ""Product 45"", ""price"": 118.16}]","{""lat"": 34.129592, ""lon"": -118.36773, ""address"": ""8354 Cervantes Lakes Apt. 126""}",delivered,2025-07-15 00:46:22.326107,2025-07-15 00:24:22.326107
88edf37a-8fb3-4500-808b-3ae142eefcb1,410e987f-bb64-4292-95e1-e91f6c43bb24,2025-08-08 07:54:37.352171,139.51,"[{""sku"": ""PROD0016"", ""name"": ""Product 16"", ""price"": 139.51}]","{""lat"": 34.005757, ""lon"": -118.550806, ""address"": ""360 Patricia Plaza""}",delivered,2025-08-09 05:20:46.117532,2025-08-09 05:27:46.117532
40a85272-8f84-4394-8965-712ebf228b0a,9d555ba4-95e6-407f-8f2e-1e2326d6551e,2025-07-17 08:32:12.352171,305.99,"[{""sku"": ""PROD0056"", ""name"": ""Product 56"", ""price"": 159.57}, {""sku"": ""PROD0079"", ""name"": ""Product 79"", ""price"": 146.42}]","{""lat"": 34.116261, ""lon"": -118.560511, ""address"": ""78871 Jones Isle""}",delivered,2025-07-17 13:08:25.478350,2025-07-17 13:32:25.478350
ee6e6a1b-a432-44e5-a09e-10be1380c49f,7723afe5-23cb-4479-a19e-dd30dcb6449a,2025-07-25 10:56:22.352171,463.63,"[{""sku"": ""PROD0098"", ""name"": ""Product 98"", ""price"": 133.57}, {""sku"": ""PROD0088"", ""name"": ""Product 88"", ""price"": 101.79}, {""sku"": ""PROD0097"", ""name"": ""Product 97"", ""price"": 79.55}, {""sku"": ""PROD0063"", ""name"": ""Product 63"", ""price"": 148.72}]","{""lat"": 34.044178, ""lon"": -118.481322, ""address"": ""90800 Ruben Square Suite 232""}",shipped,2025-07-26 06:36:34.312808,
ad54735b-177e-4d94-8bd4-6ea5ed3fbda2,4598b376-e750-417e-bf82-f3780119663f,2025-09-23 14:00:15.352171,95.6,"[{""sku"": ""PROD0054"", ""name"": ""Product 54"", ""price"": 26.16}, {""sku"": ""PROD0094"", ""name"": ""Product 94"", ""price"": 69.44}]","{""lat"": 34.126293, ""lon"": -118.570142, ""address"": ""8471 Murphy Mission Suite 983""}",delivered,2025-09-24 07:20:32.190878,2025-09-24 07:20:32.190878
0e55f8c0-7fff-406c-b8a2-1350741ef9f9,4ebf748c-3f60-4dd7-928d-8c0ea4faa2fe,2025-09-03 20:04:40.352171,204.14,"[{""sku"": ""PROD0024"", ""name"": ""Product 24"", ""price"": 185.92}, {""sku"": ""PROD0075"", ""name"": ""Product 75"", ""price"": 18.22}]","{""lat"": 34.063662, ""lon"": -118.573009, ""address"": ""91078 Stokes Coves Apt. 464""}",shipped,2025-09-03 22:47:46.781138,
80de997d-9c39-4ee2-94d6-16e6354d5136,e36de7ab-b0b8-4ee5-983f-a5a3c979471d,2025-08-08 01:03:16.352171,184.04,"[{""sku"": ""PROD0085"", ""name"": ""Product 85"", ""price"": 184.04}]","{""lat"": 34.188567, ""lon"": -118.34981, ""address"": ""64662 Joshua Turnpike""}",delivered,2025-08-08 10:33:52.471973,2025-08-08 10:20:52.471973
2b311353-b940-4dda-add7-9b43224e6501,ffe8cfba-ceda-4097-a261-3dc338551b9e,2025-07-17 02:47:09.352171,548.1,"[{""sku"": ""PROD0085"", ""name"": ""Product 85"", ""price"": 184.04}, {""sku"": ""PROD0072"", ""name"": ""Product 72"", ""price"": 45.9}, {""sku"": ""PROD0044"", ""name"": ""Product 44"", ""price"": 162.97}, {""sku"": ""PROD0055"", ""name"": ""Product 55"", ""price"": 17.75}, {""sku"": ""PROD0029"", ""name"": ""Product 29"", ""price"": 137.44}]","{""lat"": 34.074007, ""lon"": -118.565289, ""address"": ""0059 Megan Forges Apt. 211""}",delivered,2025-07-17 21:59:50.226162,2025-07-17 22:29:50.226162
